fips,name,State,State Code,Region,Division,msa,type_bea20
203,06035,Lassen County,California,CA,West,Pacific,"Susanville, CA ",Micro
204,06037,Los Angeles County,California,CA,West,Pacific,"Los Angeles-Long Beach-Anaheim, CA ",Metro
205,06039,Madera County,California,CA,West,Pacific,"Madera, CA ",Metro
206,06041,Marin County,California,CA,West,Pacific,"San Francisco-Oakland-Berkeley, CA ",Metro
207,06043,Mariposa County,California,CA,West,Pacific,,Rural
208,06045,Mendocino County,California,CA,West,Pacific,"Ukiah, CA ",Micro
209,06047,Merced County,California,CA,West,Pacific,"Merced, CA ",Metro
210,06049,Modoc County,California,CA,West,Pacific,,Rural
211,06051,Mono County,California,CA,West,Pacific,,Rural
212,06053,Monterey County,California,CA,West,Pacific,"Salinas, CA ",Metro
213,06055,Napa County,California,CA,West,Pacific,"Napa, CA ",Metro
214,06057,Nevada County,California,CA,West,Pacific,"Truckee-Grass Valley, CA ",Micro
215,06059,Orange County,California,CA,West,Pacific,"Los Angeles-Long Beach-Anaheim, CA ",Metro
216,06061,Placer County,California,CA,West,Pacific,"Sacramento-Roseville-Folsom, CA ",Metro
217,06063,Plumas County,California,CA,West,Pacific,,Rural
218,06065,Riverside County,California,CA,West,Pacific,"Riverside-San Bernardino-Ontario, CA ",Metro
219,06067,Sacramento County,California,CA,West,Pacific,"Sacramento-Roseville-Folsom, CA ",Metro
220,06069,San Benito County,California,CA,West,Pacific,"San Jose-Sunnyvale-Santa Clara, CA ",Metro
221,06071,San Bernardino County,California,CA,West,Pacific,"Riverside-San Bernardino-Ontario, CA ",Metro
222,06073,San Diego County,California,CA,West,Pacific,"San Diego-Chula Vista-Carlsbad, CA ",Metro
223,06075,San Francisco County,California,CA,West,Pacific,"San Francisco-Oakland-Berkeley, CA ",Metro
224,06077,San Joaquin County,California,CA,West,Pacific,"Stockton, CA ",Metro
225,06079,San Luis Obispo County,California,CA,West,Pacific,"San Luis Obispo-Paso Robles, CA ",Metro
226,06081,San Mateo County,California,CA,West,Pacific,"San Francisco-Oakland-Berkeley, CA ",Metro
227,06083,Santa Barbara County,California,CA,West,Pacific,"Santa Maria-Santa Barbara, CA ",Metro
228,06085,Santa Clara County,California,CA,West,Pacific,"San Jose-Sunnyvale-Santa Clara, CA ",Metro
229,06087,Santa Cruz County,California,CA,West,Pacific,"Santa Cruz-Watsonville, CA ",Metro
230,06089,Shasta County,California,CA,West,Pacific,"Redding, CA ",Metro
231,06091,Sierra County,California,CA,West,Pacific,,Rural
232,06093,Siskiyou County,California,CA,West,Pacific,,Rural
233,06095,Solano County,California,CA,West,Pacific,"Vallejo, CA ",Metro
234,06097,Sonoma County,California,CA,West,Pacific,"Santa Rosa-Petaluma, CA ",Metro
235,06099,Stanislaus County,California,CA,West,Pacific,"Modesto, CA ",Metro
236,06101,Sutter County,California,CA,West,Pacific,"Yuba City, CA ",Metro
237,06103,Tehama County,California,CA,West,Pacific,"Red Bluff, CA ",Micro
238,06105,Trinity County,California,CA,West,Pacific,,Rural
239,06107,Tulare County,California,CA,West,Pacific,"Visalia, CA ",Metro
240,06109,Tuolumne County,California,CA,West,Pacific,"Sonora, CA ",Micro
241,06111,Ventura County,California,CA,West,Pacific,"Oxnard-Thousand Oaks-Ventura, CA ",Metro
242,06113,Yolo County,California,CA,West,Pacific,"Sacramento-Roseville-Folsom, CA ",Metro
243,06115,Yuba County,California,CA,West,Pacific,"Yuba City, CA ",Metro
244,08001,Adams County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
245,08003,Alamosa County,Colorado,CO,West,Mountain,,Rural
246,08005,Arapahoe County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
247,08007,Archuleta County,Colorado,CO,West,Mountain,,Rural
248,08009,Baca County,Colorado,CO,West,Mountain,,Rural
249,08011,Bent County,Colorado,CO,West,Mountain,,Rural
250,08013,Boulder County,Colorado,CO,West,Mountain,"Boulder, CO ",Metro
251,08014,Broomfield County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
252,08015,Chaffee County,Colorado,CO,West,Mountain,,Rural
253,08017,Cheyenne County,Colorado,CO,West,Mountain,,Rural
254,08019,Clear Creek County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
