CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS
33140,,176,"Michigan City-La Porte, IN ",Metropolitan Statistical Area,1,,"Chicago-Naperville-Michigan City, IL-IN-WI",LaPorte County,Indiana,18091
33180,,,"Middlesborough, KY ",Micropolitan Statistical Area,2,,,Bell County,Kentucky,21013
33220,,,"Midland, MI ",Micropolitan Statistical Area,2,,,Midland County,Michigan,26111
33260,,,"Midland, TX ",Metropolitan Statistical Area,1,,,Midland County,Texas,48329
33300,,,"Milledgeville, GA ",Micropolitan Statistical Area,2,,,Baldwin County,Georgia,13009
33300,,,"Milledgeville, GA ",Micropolitan Statistical Area,2,,,Hancock County,Georgia,13141
33340,,376,"Milwaukee-Waukesha-West Allis, WI ",Metropolitan Statistical Area,1,,"Milwaukee-Racine-Waukesha, WI",Milwaukee County,Wisconsin,55079
33340,,376,"Milwaukee-Waukesha-West Allis, WI ",Metropolitan Statistical Area,1,,"Milwaukee-Racine-Waukesha, WI",Ozaukee County,Wisconsin,55089
33340,,376,"Milwaukee-Waukesha-West Allis, WI ",Metropolitan Statistical Area,1,,"Milwaukee-Racine-Waukesha, WI",Washington County,Wisconsin,55131
33340,,376,"Milwaukee-Waukesha-West Allis, WI ",Metropolitan Statistical Area,1,,"Milwaukee-Racine-Waukesha, WI",Waukesha County,Wisconsin,55133
33380,,508,"Minden, LA ",Micropolitan Statistical Area,2,,"Shreveport-Bossier City-Minden, LA",Webster Parish,Louisiana,22119
33420,,206,"Mineral Wells, TX ",Micropolitan Statistical Area,2,,"Dallas-Fort Worth, TX",Palo Pinto County,Texas,48363
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Anoka County,Minnesota,27003
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Carver County,Minnesota,27019
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Chisago County,Minnesota,27025
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Dakota County,Minnesota,27037
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Hennepin County,Minnesota,27053
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Isanti County,Minnesota,27059
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Ramsey County,Minnesota,27123
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Scott County,Minnesota,27139
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Sherburne County,Minnesota,27141
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Washington County,Minnesota,27163
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Wright County,Minnesota,27171
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",Pierce County,Wisconsin,55093
33460,,378,"Minneapolis-St. Paul-Bloomington, MN-WI ",Metropolitan Statistical Area,1,,"Minneapolis-St. Paul-St. Cloud, MN-WI",St. Croix County,Wisconsin,55109
33500,,,"Minot, ND ",Micropolitan Statistical Area,2,,,McHenry County,North Dakota,38049
33500,,,"Minot, ND ",Micropolitan Statistical Area,2,,,Renville County,North Dakota,38075
33500,,,"Minot, ND ",Micropolitan Statistical Area,2,,,Ward County,North Dakota,38101
33540,,,"Missoula, MT ",Metropolitan Statistical Area,1,,,Missoula County,Montana,30063
33580,,,"Mitchell, SD ",Micropolitan Statistical Area,2,,,Davison County,South Dakota,46035
33580,,,"Mitchell, SD ",Micropolitan Statistical Area,2,,,Hanson County,South Dakota,46061
33620,,,"Moberly, MO ",Micropolitan Statistical Area,2,,,Randolph County,Missouri,29175
